source,target,cat,code,doc
SATIE,"pysatie,jack,OSC",spat,https://gitlab.com/sat-mtl/tools/satie/satie,
pysatie,"",spat,https://gitlab.com/sat-mtl/tools/satie/PySATIE,
Audiodice,"jack,Puara,SATIE,vaRays",spat,https://gitlab.com/sat-mtl/tools/audiodice,
vaRays,"jack",spat,https://gitlab.com/sat-mtl/tools/vaRays,
Poire,"LivePose,SATIE",spat,https://gitlab.com/sat-mtl/metalab/poire,
LivePose,"libmapper,NDI,OSC,websocket",cap,https://gitlab.com/sat-mtl/tools/livepose,
Splash,"NDI,shmdata",proj,https://gitlab.com/sat-mtl/tools/splash/splash,
Calimiro,Splash,proj,https://gitlab.com/sat-mtl/tools/splash/calimiro,
Scenic,"scenic-api,sip-server",telep,https://gitlab.com/sat-mtl/tools/scenic/scenic,
scenic-api,"websocket",telep,https://gitlab.com/sat-mtl/tools/scenic/scenic-api,
ScenicOS,"Scenic",telep,https://gitlab.com/sat-mtl/distribution/scenicos,
sip-server,"",telep,https://gitlab.com/sat-mtl/tools/scenic/sip-server,
Switcher,"scenic-api,sip-server,jack,MIDI,NDI,OSC,shmdata,websocket",telep,https://gitlab.com/sat-mtl/tools/switcher,
Satellite,"websocket",telep,https://gitlab.com/sat-mtl/satellite,
haptic-floor,"Telluriq",hapt,https://gitlab.com/sat-mtl/tools/haptic-floor/,
Telluriq,"OSC",hapt,https://gitlab.com/sat-mtl/tools/haptic-floor/telluriq,
shmdata,"NDI",interop,https://gitlab.com/sat-mtl/tools/shmdata,
libmapper,"OSC",interop,https://gitlab.com/sat-mtl/tools/forks/libmapper,
jack,"MIDI",interop,https://github.com/jackaudio,
MIDI,,interop,,https://www.midi.org/
NDI,,interop,,https://en.wikipedia.org/wiki/Network_Device_Interface
OSC,,interop,,https://en.wikipedia.org/wiki/Open_Sound_Control
websocket,,interop,,https://en.wikipedia.org/wiki/WebSocket
Puara,"LivePose,Splash,SATIE,jack",embed,https://github.com/puara,
Mirador,"LivePose,Puara,Splash",embed,https://gitlab.com/sat-mtl/tools/mirador,
